year,year_quarter,month,treatment_location,department_type,number_of_attendances_aggregate,number_meeting_target_aggregate,attendance_greater8hrs,attendance_greater12hrs
2019,2019Q4,12,N333H,Minor Injury Unit or Other,1325,1323,0,0
2019,2019Q4,12,N334H,Minor Injury Unit or Other,640,640,0,0
2019,2019Q4,12,N335H,Minor Injury Unit or Other,279,278,0,0
2019,2019Q4,12,N336H,Minor Injury Unit or Other,95,95,0,0
2019,2019Q4,12,N337H,Minor Injury Unit or Other,176,173,0,0
2019,2019Q4,12,N411H,Emergency Department,2475,2298,20,7
2019,2019Q4,12,N431H,Minor Injury Unit or Other,41,41,0,0
2019,2019Q4,12,N432H,Minor Injury Unit or Other,6,6,0,0
2019,2019Q4,12,N433H,Minor Injury Unit or Other,72,72,0,0
2019,2019Q4,12,N494H,Minor Injury Unit or Other,63,63,0,0
2019,2019Q4,12,N683C,Minor Injury Unit or Other,49,49,0,0
2019,2019Q4,12,C206H,Minor Injury Unit or Other,1436,1339,3,1
2019,2019Q4,12,C313H,Emergency Department,2716,2334,29,0
2019,2019Q4,12,C418H,Emergency Department,5650,4167,297,14
2019,2019Q4,12,G107H,Emergency Department,7927,6021,146,7
2019,2019Q4,12,G207H,Minor Injury Unit or Other,1702,1701,0,0
2019,2019Q4,12,G306H,Minor Injury Unit or Other,2601,2594,1,0
2019,2019Q4,12,G405H,Emergency Department,8339,5259,796,259
2019,2019Q4,12,G513H,Emergency Department,6543,6086,6,0
2019,2019Q4,12,C106H,Minor Injury Unit or Other,774,773,0,0
2019,2019Q4,12,C108H,Minor Injury Unit or Other,115,111,0,0
2019,2019Q4,12,C113H,Minor Injury Unit or Other,293,284,0,0
2019,2019Q4,12,C121H,Emergency Department,647,612,2,1
2019,2019Q4,12,C122H,Minor Injury Unit or Other,600,589,0,0
2019,2019Q4,12,H101H,Minor Injury Unit or Other,168,167,0,0
2019,2019Q4,12,H103H,Emergency Department,725,691,2,0
2019,2019Q4,12,H106H,Minor Injury Unit or Other,51,51,0,0
2019,2019Q4,12,H202H,Emergency Department,3135,2669,49,12
2019,2019Q4,12,H208H,Minor Injury Unit or Other,340,340,0,0
2019,2019Q4,12,H212H,Emergency Department,695,635,3,0
2019,2019Q4,12,H214H,Minor Injury Unit or Other,355,354,0,0
2019,2019Q4,12,H215H,Minor Injury Unit or Other,176,176,0,0
2019,2019Q4,12,H219H,Minor Injury Unit or Other,150,150,0,0
2019,2019Q4,12,H221B,Minor Injury Unit or Other,42,42,0,0
2019,2019Q4,12,H224H,Minor Injury Unit or Other,370,364,0,0
2019,2019Q4,12,H227B,Minor Injury Unit or Other,104,104,0,0
2019,2019Q4,12,H227H,Minor Injury Unit or Other,63,60,0,0
2019,2019Q4,12,L106H,Emergency Department,5890,4750,107,17
2019,2019Q4,12,L206H,Minor Injury Unit or Other,65,65,0,0
2019,2019Q4,12,L207H,Minor Injury Unit or Other,43,43,0,0
2019,2019Q4,12,L302H,Emergency Department,5320,3838,337,125
2019,2019Q4,12,L308H,Emergency Department,6307,4918,216,44
2019,2019Q4,12,S108H,Minor Injury Unit or Other,146,146,0,0
2019,2019Q4,12,S116H,Minor Injury Unit or Other,3772,2878,217,72
2019,2019Q4,12,S308H,Emergency Department,4735,3930,124,25
2019,2019Q4,12,S314H,Emergency Department,10392,7673,549,128
2019,2019Q4,12,S319H,Emergency Department,4679,4439,10,2
2019,2019Q4,12,R103H,Emergency Department,600,585,1,0
2019,2019Q4,12,Z102H,Emergency Department,611,578,2,0
2019,2019Q4,12,T101H,Emergency Department,4324,4127,0,0
2019,2019Q4,12,T202H,Emergency Department,2012,1922,4,1
2019,2019Q4,12,T209H,Minor Injury Unit or Other,314,314,0,0
2019,2019Q4,12,T304H,Minor Injury Unit or Other,1230,1229,0,0
2019,2019Q4,12,T316H,Minor Injury Unit or Other,157,156,0,0
2019,2019Q4,12,T319H,Minor Injury Unit or Other,436,436,0,0
2019,2019Q4,12,T320H,Minor Injury Unit or Other,117,117,0,0
2019,2019Q4,12,T357C,Minor Injury Unit or Other,155,155,0,0
2019,2019Q4,12,W106H,Minor Injury Unit or Other,72,72,0,0
2019,2019Q4,12,W107H,Emergency Department,583,556,1,0
2019,2019Q4,12,W108H,Minor Injury Unit or Other,107,106,0,0
2020,2020Q1,01,A101H,Minor Injury Unit or Other,159,159,0,0
2020,2020Q1,01,A110H,Minor Injury Unit or Other,68,68,0,0
2020,2020Q1,01,A111H,Emergency Department,5783,4888,459,267
2020,2020Q1,01,A210H,Emergency Department,3037,1955,454,249
2020,2020Q1,01,A216H,Minor Injury Unit or Other,64,64,0,0
2020,2020Q1,01,B103H,Minor Injury Unit or Other,16,16,0,0
2020,2020Q1,01,B105H,Minor Injury Unit or Other,69,69,0,0
2020,2020Q1,01,B114H,Minor Injury Unit or Other,7,7,0,0
2020,2020Q1,01,B118H,Minor Injury Unit or Other,32,32,0,0
2020,2020Q1,01,B120H,Emergency Department,2652,2322,48,26
2020,2020Q1,01,Y101H,Minor Injury Unit or Other,25,25,0,0
2020,2020Q1,01,Y106H,Minor Injury Unit or Other,24,24,0,0
2020,2020Q1,01,Y109H,Minor Injury Unit or Other,2,2,0,0
2020,2020Q1,01,Y110H,Minor Injury Unit or Other,10,10,0,0
2020,2020Q1,01,Y144H,Emergency Department,1075,965,13,0
2020,2020Q1,01,Y146H,Emergency Department,2718,2341,56,3
2020,2020Q1,01,F704H,Emergency Department,5662,4899,49,0
2020,2020Q1,01,F708H,Minor Injury Unit or Other,120,120,0,0
2020,2020Q1,01,F709H,Minor Injury Unit or Other,250,249,0,0
2020,2020Q1,01,F805H,Minor Injury Unit or Other,1603,1601,0,0
2020,2020Q1,01,V201H,Minor Injury Unit or Other,1785,1775,0,0
2020,2020Q1,01,V217H,Emergency Department,5438,4585,30,2
2020,2020Q1,01,N101H,Emergency Department,5146,4307,47,5
2020,2020Q1,01,N121H,Emergency Department,1313,1293,0,0
2020,2020Q1,01,N151H,Minor Injury Unit or Other,79,79,0,0
2020,2020Q1,01,N332H,Minor Injury Unit or Other,25,25,0,0
2020,2020Q1,01,N333H,Minor Injury Unit or Other,1384,1379,0,0
2020,2020Q1,01,N334H,Minor Injury Unit or Other,560,559,0,0
2020,2020Q1,01,N335H,Minor Injury Unit or Other,235,230,0,0
2020,2020Q1,01,N336H,Minor Injury Unit or Other,102,102,0,0
2020,2020Q1,01,N337H,Minor Injury Unit or Other,188,185,0,0
2020,2020Q1,01,N411H,Emergency Department,2313,2110,20,3
2020,2020Q1,01,N431H,Minor Injury Unit or Other,48,48,0,0
2020,2020Q1,01,N432H,Minor Injury Unit or Other,21,21,0,0
2020,2020Q1,01,N433H,Minor Injury Unit or Other,103,103,0,0
2020,2020Q1,01,N494H,Minor Injury Unit or Other,50,50,0,0
2020,2020Q1,01,N683C,Minor Injury Unit or Other,49,49,0,0
2020,2020Q1,01,C206H,Minor Injury Unit or Other,1518,1468,0,0
2020,2020Q1,01,C313H,Emergency Department,2824,2424,34,2
2020,2020Q1,01,C418H,Emergency Department,5646,4484,213,23
2020,2020Q1,01,G107H,Emergency Department,7795,6035,172,14
2020,2020Q1,01,G207H,Minor Injury Unit or Other,2013,2005,0,0
2020,2020Q1,01,G306H,Minor Injury Unit or Other,2974,2921,0,0
2020,2020Q1,01,G405H,Emergency Department,8573,5856,416,98
2020,2020Q1,01,G513H,Emergency Department,5451,5331,0,0
2020,2020Q1,01,C106H,Minor Injury Unit or Other,723,722,0,0
2020,2020Q1,01,C108H,Minor Injury Unit or Other,109,107,0,0
2020,2020Q1,01,C113H,Minor Injury Unit or Other,282,271,0,0
2020,2020Q1,01,C121H,Emergency Department,632,595,2,1
2020,2020Q1,01,C122H,Minor Injury Unit or Other,416,414,0,0
2020,2020Q1,01,H101H,Minor Injury Unit or Other,128,128,0,0
2020,2020Q1,01,H103H,Emergency Department,694,660,2,1
2020,2020Q1,01,H106H,Minor Injury Unit or Other,46,46,0,0
2020,2020Q1,01,H202H,Emergency Department,2923,2600,55,9
2020,2020Q1,01,H208H,Minor Injury Unit or Other,371,371,0,0
2020,2020Q1,01,H212H,Emergency Department,651,604,3,1
2020,2020Q1,01,H214H,Minor Injury Unit or Other,319,318,0,0
2020,2020Q1,01,H215H,Minor Injury Unit or Other,203,203,0,0
2020,2020Q1,01,H219H,Minor Injury Unit or Other,134,134,0,0
2020,2020Q1,01,H224H,Minor Injury Unit or Other,369,366,0,0
2020,2020Q1,01,H227B,Minor Injury Unit or Other,99,99,0,0
2020,2020Q1,01,H227H,Minor Injury Unit or Other,62,57,0,0
2020,2020Q1,01,L106H,Emergency Department,5798,5146,37,3
2020,2020Q1,01,L206H,Minor Injury Unit or Other,56,55,0,0
2020,2020Q1,01,L207H,Minor Injury Unit or Other,29,29,0,0
2020,2020Q1,01,L302H,Emergency Department,5504,4391,180,62
2020,2020Q1,01,L308H,Emergency Department,6117,5186,183,44
2020,2020Q1,01,S108H,Minor Injury Unit or Other,114,114,0,0
2020,2020Q1,01,S116H,Minor Injury Unit or Other,4078,2950,273,152
2020,2020Q1,01,S308H,Emergency Department,4954,4166,233,71
2020,2020Q1,01,S314H,Emergency Department,10631,8547,497,177
2020,2020Q1,01,S319H,Emergency Department,3840,3737,1,0
2020,2020Q1,01,R103H,Emergency Department,585,559,0,0
2020,2020Q1,01,Z102H,Emergency Department,587,556,0,0
2020,2020Q1,01,T101H,Emergency Department,4097,3987,1,0
2020,2020Q1,01,T202H,Emergency Department,1942,1882,1,0
2020,2020Q1,01,T209H,Minor Injury Unit or Other,274,273,0,0
2020,2020Q1,01,T304H,Minor Injury Unit or Other,1326,1325,0,0
2020,2020Q1,01,T316H,Minor Injury Unit or Other,143,143,0,0
2020,2020Q1,01,T319H,Minor Injury Unit or Other,428,428,0,0
2020,2020Q1,01,T320H,Minor Injury Unit or Other,110,110,0,0
2020,2020Q1,01,T357C,Minor Injury Unit or Other,194,194,0,0
2020,2020Q1,01,W106H,Minor Injury Unit or Other,72,72,0,0
2020,2020Q1,01,W107H,Emergency Department,554,534,0,0
2020,2020Q1,01,W108H,Minor Injury Unit or Other,122,122,0,0
2020,2020Q1,02,A101H,Minor Injury Unit or Other,148,142,0,0
2020,2020Q1,02,A110H,Minor Injury Unit or Other,64,64,0,0
2020,2020Q1,02,A111H,Emergency Department,5336,4424,413,226
2020,2020Q1,02,A210H,Emergency Department,2661,1732,403,203
2020,2020Q1,02,A216H,Minor Injury Unit or Other,76,76,0,0
2020,2020Q1,02,B103H,Minor Injury Unit or Other,17,17,0,0
2020,2020Q1,02,B105H,Minor Injury Unit or Other,63,63,0,0
2020,2020Q1,02,B114H,Minor Injury Unit or Other,11,11,0,0
2020,2020Q1,02,B118H,Minor Injury Unit or Other,49,49,0,0
2020,2020Q1,02,B120H,Emergency Department,2304,1994,61,17
2020,2020Q1,02,Y101H,Minor Injury Unit or Other,23,23,0,0
2020,2020Q1,02,Y106H,Minor Injury Unit or Other,18,18,0,0
2020,2020Q1,02,Y110H,Minor Injury Unit or Other,7,7,0,0
2020,2020Q1,02,Y144H,Emergency Department,995,882,16,2
2020,2020Q1,02,Y146H,Emergency Department,2656,2351,34,7
2020,2020Q1,02,F704H,Emergency Department,5317,4608,50,0
2020,2020Q1,02,F708H,Minor Injury Unit or Other,130,130,0,0
2020,2020Q1,02,F709H,Minor Injury Unit or Other,252,251,0,0
2020,2020Q1,02,F805H,Minor Injury Unit or Other,1500,1498,0,0
2020,2020Q1,02,V201H,Minor Injury Unit or Other,1761,1754,0,0
2020,2020Q1,02,V217H,Emergency Department,5014,4638,4,1
2020,2020Q1,02,N101H,Emergency Department,4679,4085,24,4
2020,2020Q1,02,N121H,Emergency Department,1284,1256,0,0
2020,2020Q1,02,N151H,Minor Injury Unit or Other,91,91,0,0
2020,2020Q1,02,N332H,Minor Injury Unit or Other,17,17,0,0
2020,2020Q1,02,N333H,Minor Injury Unit or Other,1258,1256,0,0
2020,2020Q1,02,N334H,Minor Injury Unit or Other,541,541,0,0
2020,2020Q1,02,N335H,Minor Injury Unit or Other,234,232,0,0
2020,2020Q1,02,N336H,Minor Injury Unit or Other,102,102,0,0
2020,2020Q1,02,N337H,Minor Injury Unit or Other,181,180,0,0
2020,2020Q1,02,N411H,Emergency Department,2080,1907,14,2
2020,2020Q1,02,N431H,Minor Injury Unit or Other,55,55,0,0
2020,2020Q1,02,N432H,Minor Injury Unit or Other,17,17,0,0
2020,2020Q1,02,N433H,Minor Injury Unit or Other,73,73,0,0
2020,2020Q1,02,N494H,Minor Injury Unit or Other,56,56,0,0
2020,2020Q1,02,N683C,Minor Injury Unit or Other,44,44,0,0
2020,2020Q1,02,C206H,Minor Injury Unit or Other,1308,1247,2,0
2020,2020Q1,02,C313H,Emergency Department,2454,2264,11,2
2020,2020Q1,02,C418H,Emergency Department,5102,4127,179,9
2020,2020Q1,02,G107H,Emergency Department,7423,6047,87,7
2020,2020Q1,02,G207H,Minor Injury Unit or Other,1836,1832,0,0
2020,2020Q1,02,G306H,Minor Injury Unit or Other,2783,2782,0,0
2020,2020Q1,02,G405H,Emergency Department,7870,5421,412,61
2020,2020Q1,02,G513H,Emergency Department,5004,4922,1,0
2020,2020Q1,02,C106H,Minor Injury Unit or Other,682,682,0,0
2020,2020Q1,02,C108H,Minor Injury Unit or Other,90,88,0,0
2020,2020Q1,02,C113H,Minor Injury Unit or Other,293,286,0,0
2020,2020Q1,02,C121H,Emergency Department,520,504,1,0
2020,2020Q1,02,C122H,Minor Injury Unit or Other,269,264,0,0
2020,2020Q1,02,H101H,Minor Injury Unit or Other,126,124,0,0
2020,2020Q1,02,H103H,Emergency Department,653,630,3,1
2020,2020Q1,02,H106H,Minor Injury Unit or Other,58,58,0,0
2020,2020Q1,02,H202H,Emergency Department,2786,2451,28,2
2020,2020Q1,02,H208H,Minor Injury Unit or Other,313,313,0,0
2020,2020Q1,02,H212H,Emergency Department,610,570,4,0
2020,2020Q1,02,H214H,Minor Injury Unit or Other,346,345,0,0
2020,2020Q1,02,H215H,Minor Injury Unit or Other,171,171,0,0
2020,2020Q1,02,H219H,Minor Injury Unit or Other,145,145,0,0
2020,2020Q1,02,H224H,Minor Injury Unit or Other,335,329,0,0
2020,2020Q1,02,H227B,Minor Injury Unit or Other,119,119,0,0
2020,2020Q1,02,H227H,Minor Injury Unit or Other,56,54,0,0
2020,2020Q1,02,L106H,Emergency Department,5403,4878,38,6
2020,2020Q1,02,L206H,Minor Injury Unit or Other,54,54,0,0
2020,2020Q1,02,L207H,Minor Injury Unit or Other,15,15,0,0
2020,2020Q1,02,L302H,Emergency Department,4901,3961,180,57
2020,2020Q1,02,L308H,Emergency Department,5761,4848,148,30
2020,2020Q1,02,S108H,Minor Injury Unit or Other,126,126,0,0
2020,2020Q1,02,S116H,Minor Injury Unit or Other,3616,2666,280,140
2020,2020Q1,02,S308H,Emergency Department,4535,3941,140,45
2020,2020Q1,02,S314H,Emergency Department,9968,7721,617,269
2020,2020Q1,02,S319H,Emergency Department,3664,3553,2,0
2020,2020Q1,02,R103H,Emergency Department,562,529,3,0
2020,2020Q1,02,Z102H,Emergency Department,591,546,2,1
2020,2020Q1,02,T101H,Emergency Department,4169,4027,1,1
2020,2020Q1,02,T202H,Emergency Department,1770,1725,2,0
2020,2020Q1,02,T209H,Minor Injury Unit or Other,255,255,0,0
2020,2020Q1,02,T304H,Minor Injury Unit or Other,1024,1023,1,0
2020,2020Q1,02,T316H,Minor Injury Unit or Other,183,183,0,0
2020,2020Q1,02,T319H,Minor Injury Unit or Other,410,410,0,0
2020,2020Q1,02,T320H,Minor Injury Unit or Other,73,73,0,0
2020,2020Q1,02,T357C,Minor Injury Unit or Other,187,187,0,0
2020,2020Q1,02,W106H,Minor Injury Unit or Other,64,64,0,0
2020,2020Q1,02,W107H,Emergency Department,448,442,0,0
2020,2020Q1,02,W108H,Minor Injury Unit or Other,96,93,0,0
2020,2020Q1,03,A101H,Minor Injury Unit or Other,134,132,0,0
2020,2020Q1,03,A110H,Minor Injury Unit or Other,42,38,0,0
2020,2020Q1,03,A111H,Emergency Department,4611,4230,130,67
2020,2020Q1,03,A210H,Emergency Department,2302,1757,228,124
2020,2020Q1,03,A216H,Minor Injury Unit or Other,59,59,0,0
2020,2020Q1,03,B103H,Minor Injury Unit or Other,3,3,0,0
2020,2020Q1,03,B105H,Minor Injury Unit or Other,37,37,0,0
2020,2020Q1,03,B114H,Minor Injury Unit or Other,8,8,0,0
2020,2020Q1,03,B118H,Minor Injury Unit or Other,16,16,0,0
2020,2020Q1,03,B120H,Emergency Department,1896,1627,41,17
2020,2020Q1,03,Y101H,Minor Injury Unit or Other,7,7,0,0
2020,2020Q1,03,Y106H,Minor Injury Unit or Other,16,16,0,0
2020,2020Q1,03,Y109H,Minor Injury Unit or Other,2,2,0,0
2020,2020Q1,03,Y110H,Minor Injury Unit or Other,3,3,0,0
2020,2020Q1,03,Y144H,Emergency Department,947,843,21,3
2020,2020Q1,03,Y146H,Emergency Department,2124,1878,51,13
2020,2020Q1,03,F704H,Emergency Department,4189,3721,18,0
2020,2020Q1,03,F708H,Minor Injury Unit or Other,97,97,0,0
2020,2020Q1,03,F709H,Minor Injury Unit or Other,216,216,0,0
2020,2020Q1,03,F805H,Minor Injury Unit or Other,1218,1217,0,0
2020,2020Q1,03,V201H,Minor Injury Unit or Other,1362,1360,0,0
2020,2020Q1,03,V217H,Emergency Department,4256,3874,21,10
2020,2020Q1,03,N101H,Emergency Department,4001,3403,36,0
2020,2020Q1,03,N121H,Emergency Department,1065,1050,0,0
2020,2020Q1,03,N151H,Minor Injury Unit or Other,70,70,0,0
2020,2020Q1,03,N332H,Minor Injury Unit or Other,15,15,0,0
2020,2020Q1,03,N333H,Minor Injury Unit or Other,948,946,0,0
2020,2020Q1,03,N334H,Minor Injury Unit or Other,492,492,0,0
2020,2020Q1,03,N335H,Minor Injury Unit or Other,187,187,0,0
2020,2020Q1,03,N336H,Minor Injury Unit or Other,53,53,0,0
2020,2020Q1,03,N337H,Minor Injury Unit or Other,140,139,0,0
2020,2020Q1,03,N411H,Emergency Department,1780,1653,7,1
2020,2020Q1,03,N431H,Minor Injury Unit or Other,41,41,0,0
2020,2020Q1,03,N432H,Minor Injury Unit or Other,19,19,0,0
2020,2020Q1,03,N433H,Minor Injury Unit or Other,41,41,0,0
2020,2020Q1,03,N494H,Minor Injury Unit or Other,38,38,0,0
2020,2020Q1,03,N683C,Minor Injury Unit or Other,22,22,0,0
2020,2020Q1,03,C206H,Minor Injury Unit or Other,1100,1050,3,1
2020,2020Q1,03,C313H,Emergency Department,2018,1809,20,5
2020,2020Q1,03,C418H,Emergency Department,3988,3441,79,6
2020,2020Q1,03,G107H,Emergency Department,5116,4392,56,5
2020,2020Q1,03,G207H,Minor Injury Unit or Other,1569,1556,1,0
2020,2020Q1,03,G306H,Minor Injury Unit or Other,1959,1955,0,0
2020,2020Q1,03,G405H,Emergency Department,6035,4635,78,6
2020,2020Q1,03,G513H,Emergency Department,3042,2939,0,0
2020,2020Q1,03,C106H,Minor Injury Unit or Other,487,487,0,0
2020,2020Q1,03,C108H,Minor Injury Unit or Other,55,55,0,0
2020,2020Q1,03,C113H,Minor Injury Unit or Other,246,240,0,0
2020,2020Q1,03,C121H,Emergency Department,445,426,3,0
2020,2020Q1,03,C122H,Minor Injury Unit or Other,275,270,0,0
2020,2020Q1,03,H101H,Minor Injury Unit or Other,93,93,0,0
2020,2020Q1,03,H103H,Emergency Department,574,547,4,2
2020,2020Q1,03,H106H,Minor Injury Unit or Other,50,50,0,0
2020,2020Q1,03,H202H,Emergency Department,2208,1952,20,0
2020,2020Q1,03,H208H,Minor Injury Unit or Other,214,214,0,0
2020,2020Q1,03,H212H,Emergency Department,452,430,1,0
2020,2020Q1,03,H214H,Minor Injury Unit or Other,262,262,0,0
2020,2020Q1,03,H215H,Minor Injury Unit or Other,115,115,0,0
2020,2020Q1,03,H219H,Minor Injury Unit or Other,106,106,0,0
2020,2020Q1,03,H224H,Minor Injury Unit or Other,270,269,0,0
2020,2020Q1,03,H227B,Minor Injury Unit or Other,83,83,0,0
2020,2020Q1,03,H227H,Minor Injury Unit or Other,48,45,0,0
2020,2020Q1,03,L106H,Emergency Department,4239,3864,29,4
2020,2020Q1,03,L206H,Minor Injury Unit or Other,37,37,0,0
2020,2020Q1,03,L207H,Minor Injury Unit or Other,28,28,0,0
2020,2020Q1,03,L302H,Emergency Department,3742,3015,113,45
2020,2020Q1,03,L308H,Emergency Department,4568,3946,115,18
2020,2020Q1,03,S108H,Minor Injury Unit or Other,99,99,0,0
2020,2020Q1,03,S116H,Minor Injury Unit or Other,2650,2222,64,41
2020,2020Q1,03,S308H,Emergency Department,3800,3408,53,13
2020,2020Q1,03,S314H,Emergency Department,7955,6446,311,97
2020,2020Q1,03,S319H,Emergency Department,3260,3199,0,0
2020,2020Q1,03,R103H,Emergency Department,415,394,0,0
2020,2020Q1,03,Z102H,Emergency Department,451,410,2,0
2020,2020Q1,03,T101H,Emergency Department,3265,3173,2,0
2020,2020Q1,03,T202H,Emergency Department,1532,1460,4,0
2020,2020Q1,03,T209H,Minor Injury Unit or Other,160,159,0,0
2020,2020Q1,03,T304H,Minor Injury Unit or Other,702,702,0,0
2020,2020Q1,03,T316H,Minor Injury Unit or Other,85,85,0,0
2020,2020Q1,03,T319H,Minor Injury Unit or Other,278,277,0,0
2020,2020Q1,03,T320H,Minor Injury Unit or Other,38,38,0,0
2020,2020Q1,03,T357C,Minor Injury Unit or Other,166,166,0,0
2020,2020Q1,03,W106H,Minor Injury Unit or Other,26,26,0,0
2020,2020Q1,03,W107H,Emergency Department,355,348,1,0
2020,2020Q1,03,W108H,Minor Injury Unit or Other,107,106,0,0
2020,2020Q2,04,A101H,Minor Injury Unit or Other,61,59,0,0
2020,2020Q2,04,A110H,Minor Injury Unit or Other,14,14,0,0
2020,2020Q2,04,A111H,Emergency Department,3485,3423,4,0
2020,2020Q2,04,A210H,Emergency Department,1828,1689,11,0
2020,2020Q2,04,A216H,Minor Injury Unit or Other,15,15,0,0
2020,2020Q2,04,B120H,Emergency Department,1494,1336,3,0
2020,2020Q2,04,Y144H,Emergency Department,600,542,3,0
2020,2020Q2,04,Y146H,Emergency Department,1505,1438,1,0
2020,2020Q2,04,F704H,Emergency Department,2511,2403,2,0
2020,2020Q2,04,F708H,Minor Injury Unit or Other,74,74,0,0
2020,2020Q2,04,F709H,Minor Injury Unit or Other,116,116,0,0
2020,2020Q2,04,F805H,Minor Injury Unit or Other,686,686,0,0
2020,2020Q2,04,V201H,Minor Injury Unit or Other,1132,1129,0,0
2020,2020Q2,04,V217H,Emergency Department,2586,2485,3,1
2020,2020Q2,04,N101H,Emergency Department,2860,2560,14,0
2020,2020Q2,04,N121H,Emergency Department,529,521,0,0
2020,2020Q2,04,N333H,Minor Injury Unit or Other,457,456,0,0
2020,2020Q2,04,N334H,Minor Injury Unit or Other,264,264,0,0
2020,2020Q2,04,N335H,Minor Injury Unit or Other,160,159,0,0
2020,2020Q2,04,N411H,Emergency Department,1117,1029,3,0
2020,2020Q2,04,N431H,Minor Injury Unit or Other,2,2,0,0
2020,2020Q2,04,N432H,Minor Injury Unit or Other,8,8,0,0
2020,2020Q2,04,N433H,Minor Injury Unit or Other,8,8,0,0
2020,2020Q2,04,C206H,Minor Injury Unit or Other,486,479,0,0
2020,2020Q2,04,C313H,Emergency Department,1068,1013,3,0
2020,2020Q2,04,C418H,Emergency Department,2068,1944,15,1
2020,2020Q2,04,G107H,Emergency Department,3508,3205,8,0
2020,2020Q2,04,G207H,Minor Injury Unit or Other,962,962,0,0
2020,2020Q2,04,G405H,Emergency Department,4592,4163,14,0
2020,2020Q2,04,G513H,Emergency Department,1638,1614,0,0
2020,2020Q2,04,C106H,Minor Injury Unit or Other,231,231,0,0
2020,2020Q2,04,C108H,Minor Injury Unit or Other,29,28,0,0
2020,2020Q2,04,C113H,Minor Injury Unit or Other,158,158,0,0
2020,2020Q2,04,C121H,Emergency Department,289,271,1,1
2020,2020Q2,04,C122H,Minor Injury Unit or Other,211,210,0,0
2020,2020Q2,04,H101H,Minor Injury Unit or Other,2,2,0,0
2020,2020Q2,04,H103H,Emergency Department,447,425,0,0
2020,2020Q2,04,H106H,Minor Injury Unit or Other,15,15,0,0
2020,2020Q2,04,H202H,Emergency Department,1320,1265,2,0
2020,2020Q2,04,H208H,Minor Injury Unit or Other,84,84,0,0
2020,2020Q2,04,H212H,Emergency Department,237,233,0,0
2020,2020Q2,04,H214H,Minor Injury Unit or Other,227,226,0,0
2020,2020Q2,04,H215H,Minor Injury Unit or Other,2,2,0,0
2020,2020Q2,04,H224H,Minor Injury Unit or Other,182,182,0,0
2020,2020Q2,04,H227B,Minor Injury Unit or Other,20,20,0,0
2020,2020Q2,04,H227H,Minor Injury Unit or Other,26,26,0,0
2020,2020Q2,04,L106H,Emergency Department,3076,2936,16,2
2020,2020Q2,04,L206H,Minor Injury Unit or Other,3,3,0,0
2020,2020Q2,04,L302H,Emergency Department,2670,2444,7,1
2020,2020Q2,04,L308H,Emergency Department,3532,3350,23,3
2020,2020Q2,04,S108H,Minor Injury Unit or Other,50,50,0,0
2020,2020Q2,04,S116H,Minor Injury Unit or Other,1784,1668,4,0
2020,2020Q2,04,S308H,Emergency Department,2523,2420,9,1
2020,2020Q2,04,S314H,Emergency Department,5671,5383,11,0
2020,2020Q2,04,S319H,Emergency Department,2002,1960,0,0
2020,2020Q2,04,R103H,Emergency Department,236,233,0,0
2020,2020Q2,04,Z102H,Emergency Department,352,327,0,0
2020,2020Q2,04,T101H,Emergency Department,2199,2153,0,0
2020,2020Q2,04,T202H,Emergency Department,968,944,1,1
2020,2020Q2,04,T304H,Minor Injury Unit or Other,322,322,0,0
2020,2020Q2,04,T319H,Minor Injury Unit or Other,124,124,0,0
2020,2020Q2,04,W106H,Minor Injury Unit or Other,15,15,0,0
2020,2020Q2,04,W107H,Emergency Department,212,206,1,0
2020,2020Q2,04,W108H,Minor Injury Unit or Other,64,64,0,0
2020,2020Q2,05,A101H,Minor Injury Unit or Other,132,127,0,0
2020,2020Q2,05,A110H,Minor Injury Unit or Other,46,46,0,0
2020,2020Q2,05,A111H,Emergency Department,4670,4608,0,0
2020,2020Q2,05,A210H,Emergency Department,2542,2320,12,0
2020,2020Q2,05,A216H,Minor Injury Unit or Other,31,30,0,0
2020,2020Q2,05,B120H,Emergency Department,1913,1765,12,3
2020,2020Q2,05,Y144H,Emergency Department,760,698,5,0
2020,2020Q2,05,Y146H,Emergency Department,2068,1977,0,0
2020,2020Q2,05,F704H,Emergency Department,3821,3649,3,0
2020,2020Q2,05,F708H,Minor Injury Unit or Other,94,92,0,0
2020,2020Q2,05,F709H,Minor Injury Unit or Other,139,139,0,0
2020,2020Q2,05,F805H,Minor Injury Unit or Other,935,935,0,0
2020,2020Q2,05,V201H,Minor Injury Unit or Other,1665,1661,0,0
2020,2020Q2,05,V217H,Emergency Department,3280,3186,0,0
2020,2020Q2,05,N101H,Emergency Department,3099,2937,3,0
2020,2020Q2,05,N121H,Emergency Department,686,671,1,0
2020,2020Q2,05,N333H,Minor Injury Unit or Other,577,577,0,0
2020,2020Q2,05,N334H,Minor Injury Unit or Other,353,353,0,0
2020,2020Q2,05,N335H,Minor Injury Unit or Other,198,198,0,0
2020,2020Q2,05,N411H,Emergency Department,1340,1257,2,0
2020,2020Q2,05,N432H,Minor Injury Unit or Other,3,3,0,0
2020,2020Q2,05,C206H,Minor Injury Unit or Other,734,719,0,0
2020,2020Q2,05,C313H,Emergency Department,1578,1506,4,1
2020,2020Q2,05,C418H,Emergency Department,3116,2933,14,2
2020,2020Q2,05,G107H,Emergency Department,4559,4349,6,2
